order,value,true_error,approx_error
0,0.5,0.8573576111252996,
1,0.5043301270189222,0.0012428579455186688,0.8585897980192942
2,0.5043238770189222,3.5749156606231447e-06,0.001239282985554724
3,0.5043238589767263,2.5863032156824406e-09,3.5775019639313526e-06
4,0.5043238589897471,4.468860038673653e-12,2.5818343556438824e-09
5,0.5043238589897697,2.2014088860461346e-14,4.490874127534113e-12
6,0.5043238589897696,0.0,2.2014088860461346e-14
7,0.5043238589897696,0.0,0.0
8,0.5043238589897696,0.0,0.0
9,0.5043238589897696,0.0,0.0
10,0.5043238589897696,0.0,0.0
