method,iteration,x,approx_error,true_error
bisection,1,3.25,,8.333333333333332
bisection,2,2.875,13.043478260869565,4.166666666666666
bisection,3,3.0625,6.122448979591836,2.083333333333333
bisection,4,2.96875,3.1578947368421053,1.0416666666666665
bisection,5,3.015625,1.5544041450777202,0.5208333333333333
bisection,6,2.9921875,0.7832898172323759,0.26041666666666663
bisection,7,3.00390625,0.3901170351105332,0.13020833333333331
bisection,8,2.998046875,0.19543973941368079,0.06510416666666666
bisection,9,3.0009765625,0.097624471200781,0.03255208333333333
bisection,10,2.99951171875,0.04883607357968419,0.016276041666666664
bisection,11,3.000244140625,0.024412075840182276,0.008138020833333332
bisection,12,2.9998779296875,0.012207527975584945,0.004069010416666666
bisection,13,3.00006103515625,0.006103391451183041,0.002034505208333333
bisection,14,2.999969482421875,0.0030517888569016206,0.0010172526041666665
bisection,15,3.0000152587890625,0.0015258711452680192,0.0005086263020833333
fixed-point,0,2.5,,16.666666666666664
fixed-point,1,2.5340909090909087,1.3452914798206137,15.530303030303042
fixed-point,2,2.568794529275663,1.3509690942287906,14.373515690811237
fixed-point,3,2.6037739854974244,1.3434136916871877,13.207533816752518
fixed-point,4,2.6386532936853966,1.3218602182955361,12.04489021048678
fixed-point,5,2.673031534294562,1.2861142926335891,10.89894885684794
fixed-point,6,2.7065013040124994,1.2366433989267722,9.783289866250017
fixed-point,7,2.738669972350745,1.174609159300547,8.711000921641832
fixed-point,8,2.7691815193511484,1.1018254595152934,7.6939493549617195
fixed-point,9,2.7977363197089797,1.0206394418470994,6.742122676367342
fixed-point,10,2.8241063469154426,0.9337476697810919,5.863121769485247
fixed-point,11,2.848143935456076,0.8439737978615981,5.061868818130799
fixed-point,12,2.8697833151889274,0.7540422866883508,4.340556160369088
fixed-point,13,2.8890353350847535,0.6663822924568474,3.6988221638415495
fixed-point,14,2.905976806409865,0.582987148684146,3.1341064530045
newton,0,4.0,,33.33333333333333
newton,1,3.4545454545454546,15.789473684210526,15.151515151515152
newton,2,3.151046789377547,9.631677517167567,5.034892979251563
newton,3,3.0253259289766983,4.155613753767453,0.8441976325566092
newton,4,3.0009084519430513,0.8136695079064116,0.030281731435044534
newton,5,3.0000012353089454,0.030240542018061926,4.1176964845253863e-05
newton,6,3.000000000002289,4.1176888550696196e-05,7.629452625224076e-11
newton,7,3.0,7.629452625224076e-11,0.0
newton,8,3.0,0.0,0.0
newton,9,3.0,0.0,0.0
newton,10,3.0,0.0,0.0
newton,11,3.0,0.0,0.0
newton,12,3.0,0.0,0.0
newton,13,3.0,0.0,0.0
newton,14,3.0,0.0,0.0
