n,cond,inverse,naive,pivoting,gs,gs_sweeps,gs_converged,gs_finite,relax,relax_sweeps,relax_converged,relax_finite,rho_gs,rho_relax
1,14.940840876754065,8.217912523424187e-14,4.0487114727919017e-14,3.521962510038937e-14,nan,1000,False,False,nan,1000,False,False,109115.1949506276,68299.18060417895
2,13.554812500836565,2.200898880722871e-14,4.95202248162646e-12,3.346927350426617e-14,nan,1000,False,False,nan,1000,False,False,1544510011.7953265,1009349112.2329342
3,13.429108811601498,4.436407133678226e-14,2.182996112193373e-11,4.443027291891943e-14,nan,1000,False,False,nan,1000,False,False,15944051000011.523,10456817310011.926
4,13.41665555835163,2.2205526484624516e-14,3.110349134561941e-10,2.2205526484624516e-14,nan,1000,False,False,nan,1000,False,False,1.599440051000001e+17,1.04935180131e+17
5,13.415411393399594,2.2204265093177964e-14,4.202134964618837e-09,2.220456707569343e-14,nan,1000,False,False,nan,1000,False,False,1.5999440005099998e+21,1.0497191764131e+21
6,13.415286988497424,2.220444095257717e-14,3.237844918372517e-08,3.330670672599295e-14,nan,1000,False,False,nan,1000,False,False,1.5999944000051003e+25,1.0497559176041316e+25
7,13.415274548123152,4.440891601120716e-14,1.2503930123415857e-06,2.220445800560358e-14,nan,1000,False,False,nan,1000,False,False,1.599999440000051e+29,1.0497595917600418e+29
8,13.415273304086874,2.2204460599084544e-14,1.4877470901981855e-06,2.2204460297103878e-14,nan,1000,False,False,nan,1000,False,False,1.5999999440000002e+33,1.0497599591760005e+33
9,13.41527317968327,2.2204460503161273e-14,8.186037085424171e-06,3.330669075474191e-14,nan,1000,False,False,nan,1000,False,False,1.5999999944000014e+37,1.0497599959175999e+37
10,13.415273167242894,0.0,0.0008799131825279528,2.2204460493568945e-14,nan,1000,False,False,nan,1000,False,False,1.5999999994400003e+41,1.0497599995917594e+41
11,13.41527316599886,2.220446049230773e-14,8.273157092657994e-06,2.2204460492278867e-14,nan,1000,False,False,nan,1000,False,False,1.5999999999440004e+45,1.0497599999591763e+45
12,13.415273165874453,3.330669073877068e-14,0.09770790011603143,2.220446049251379e-14,nan,1000,False,False,nan,1000,False,False,1.5999999999943997e+49,1.0497599999959176e+49
13,13.415273165862017,2.2204460492500887e-14,0.36416142610532626,3.330669073875629e-14,nan,1000,False,False,nan,1000,False,False,1.5999999999994402e+53,1.0497599999995914e+53
14,13.415273165860773,2.220446049250291e-14,2.300373832987092,2.2204460492503238e-14,nan,1000,False,False,nan,1000,False,False,1.599999999999944e+57,1.0497599999999593e+57
15,13.415273165860649,2.220446049250314e-14,11.182158029987567,2.2204460492503106e-14,nan,1000,False,False,nan,1000,False,False,1.5999999999999942e+61,1.049759999999996e+61
16,13.415273165860636,4.440892098500625e-14,nan,3.330669073875469e-14,nan,1000,False,False,nan,1000,False,False,1.5999999999999993e+65,1.0497599999999997e+65
